Id;Cinsiyet;Yas;IlgiAlani;Renk;Butce;Tatil;Dekorasyon;Giyim;Işiklandirma
136;Erkek;46-55;Yemek ve Mutfak; Beyaz;5001 TL ;Aktif ve macera dolu tatiller (rafting, sörf, dağ tırmanışı);Modern ve minimalist;Klasik ve zarif giyim tarzı;Doğal güneş ışığı
137;Kadın;18-25;Yemek ve Mutfak;Gri;1001-2000 TL;Doğa tatilleri (dağ evi, kamp, doğa yürüyüşleri);Modern ve minimalist;Rahat ve spor giyim tarzı;Doğal güneş ışığı
138;Erkek;18-25; Teknoloji ve Cihazlar; Siyah;1001-2000 TL;Plaj tatilleri;Sanatsal ve yaratıcı;Rahat ve spor giyim tarzı;Doğal güneş ışığı
139;Kadın;18-25;Sanat ve El Sanatları;Mor;1001-2000 TL;Şehir merkezlerini keşfetmek;Sanatsal ve yaratıcı;Klasik ve zarif giyim tarzı;Loş ve romantik mum ışığı
140;Erkek;18-25;Seyahat ve Macera; Siyah; 2001-5000 TL;Aktif ve macera dolu tatiller (rafting, sörf, dağ tırmanışı);Modern ve minimalist;Klasik ve zarif giyim tarzı;Loş ve romantik mum ışığı
141;Erkek;18-25;Ev Dekorasyonu;Mavi; 2001-5000 TL;Şehir merkezlerini keşfetmek;Modern ve minimalist; Vintage ve retro giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
142;Erkek;18-25;Yemek ve Mutfak;Mavi; 2001-5000 TL;Doğa tatilleri (dağ evi, kamp, doğa yürüyüşleri);Doğal ve rustik;Klasik ve zarif giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
143;Erkek;18-25;Yemek ve Mutfak;Mavi;1001-2000 TL;Aktif ve macera dolu tatiller (rafting, sörf, dağ tırmanışı);Doğal ve rustik;Rahat ve spor giyim tarzı;Doğal güneş ışığı
144;Erkek;26-35;Kitaplar ve Edebiyat; Siyah;5001 TL;Plaj tatilleri;Vintage ve antika;Klasik ve zarif giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
145;Erkek;18-25; Teknoloji ve Cihazlar; Siyah; 0-500 TL;Plaj tatilleri;Modern ve minimalist;Rahat ve spor giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
146;Erkek;18-25;Sanat ve El Sanatları;Kırmızı; 501-1000 TL;Plaj tatilleri;Vintage ve antika;Rahat ve spor giyim tarzı;Doğal güneş ışığı
147;Erkek;18-25;Spor ve Aktiviteler;Mavi; 501-1000 TL;Şehir dışı ve uzun yolculuklar;Modern ve minimalist;Rahat ve spor giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
148;Erkek;26-35;Kitaplar ve Edebiyat;Mavi; 2001-5000 TL;Aktif ve macera dolu tatiller (rafting, sörf, dağ tırmanışı);Doğal ve rustik;Klasik ve zarif giyim tarzı;Doğal güneş ışığı
149;Erkek;18-25; Teknoloji ve Cihazlar;Mavi;1001-2000 TL;Şehir dışı ve uzun yolculuklar;Modern ve minimalist;Rahat ve spor giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
150;Erkek;18-25; Teknoloji ve Cihazlar;Mor; 2001-5000 TL;Şehir merkezlerini keşfetmek;Modern ve minimalist;Rahat ve spor giyim tarzı;Doğal güneş ışığı
151;Erkek;18-25; Teknoloji ve Cihazlar;Kırmızı; 2001-5000 TL;Şehir dışı ve uzun yolculuklar;Modern ve minimalist;Klasik ve zarif giyim tarzı;Loş ve romantik mum ışığı
152;Erkek;46-55; Teknoloji ve Cihazlar;Mavi;5001 TL ;Şehir dışı ve uzun yolculuklar;Modern ve minimalist;Rahat ve spor giyim tarzı;Renkli ve eğlenceli parti ışıkları
153;Kadın;26-35; Teknoloji ve Cihazlar; Pembe;5001 TL ;Şehir dışı ve uzun yolculuklar;Lüks ve gösterişli;Rahat ve spor giyim tarzı;Loş ve romantik mum ışığı
154;Erkek;18-25;Kitaplar ve Edebiyat;Mavi; 501-1000 TL;Şehir merkezlerini keşfetmek;Modern ve minimalist;Rahat ve spor giyim tarzı;Loş ve romantik mum ışığı
155;Kadın;18-25;Sanat ve El Sanatları; Siyah; 501-1000 TL;Şehir merkezlerini keşfetmek;Modern ve minimalist;Rahat ve spor giyim tarzı;Doğal güneş ışığı
156;Erkek;46-55;Spor ve Aktiviteler; Siyah;5001 TL ;Şehir merkezlerini keşfetmek;Modern ve minimalist;Klasik ve zarif giyim tarzı;Doğal güneş ışığı
157;Erkek;18-25;Spor ve Aktiviteler;Mavi;1001-2000 TL;Doğa tatilleri (dağ evi, kamp, doğa yürüyüşleri);Doğal ve rustik;Rahat ve spor giyim tarzı;Loş ve romantik mum ışığı
158;Erkek;26-35; Teknoloji ve Cihazlar;Gri; 501-1000 TL;Şehir dışı ve uzun yolculuklar;Modern ve minimalist;Rahat ve spor giyim tarzı;Doğal güneş ışığı
159;Kadın;26-35;Teknoloji ve Cihazlar; Siyah;1001-2000 TL;Doğa tatilleri (dağ evi, kamp, doğa yürüyüşleri);Modern ve minimalist;Klasik ve zarif giyim tarzı;Loş ve romantik mum ışığı
160;Erkek;18-25;Spor ve Aktiviteler; Siyah; 501-1000 TL;Kültürel ve tarihi mekanları ziyaret etmek;Modern ve minimalist;Rahat ve spor giyim tarzı;Doğal güneş ışığı
161;Kadın;18-25; Moda ve Giyim; Siyah;1001-2000 TL;Şehir dışı ve uzun yolculuklar;Modern ve minimalist;Rahat ve spor giyim tarzı;Loş ve romantik mum ışığı
162;Kadın;18-25; Seyahat ve Macera;Mavi;1001-2000 TL;Doğa tatilleri (dağ evi, kamp, doğa yürüyüşleri);Vintage ve antika;Klasik ve zarif giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
163;Erkek;46-55;Seyahat ve Macera; Siyah;1001-2000 TL;Doğa tatilleri (dağ evi, kamp, doğa yürüyüşleri);Modern ve minimalist;Klasik ve zarif giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
164;Erkek;18-25; Teknoloji ve Cihazlar; Siyah; 2001-5000 TL;Şehir dışı ve uzun yolculuklar;Modern ve minimalist;Rahat ve spor giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
165;Kadın;18-25;Kitaplar ve Edebiyat; Siyah;1001-2000 TL;Kültürel ve tarihi mekanları ziyaret etmek;Vintage ve antika; Vintage ve retro giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
166;Erkek;18-25; Teknoloji ve Cihazlar;Gri;5001 TL ;Şehir dışı ve uzun yolculuklar;Modern ve minimalist;Rahat ve spor giyim tarzı;Parlak ve enerjik floresan ışık
167;Erkek;46-55;Müzik ve Konserler; Beyaz;1001-2000 TL;Doğa tatilleri (dağ evi, kamp, doğa yürüyüşleri);Modern ve minimalist;Rahat ve spor giyim tarzı;Loş ve romantik mum ışığı
168;Erkek;18-25;Spor ve Aktiviteler;Siyah;1001-2000 TL;Plaj tatilleri;Modern ve minimalist;Rahat ve spor giyim tarzı;Doğal güneş ışığı
169;Erkek;18-25;Spor ve Aktiviteler; Siyah;1001-2000 TL;Şehir dışı ve uzun yolculuklar;Sanatsal ve yaratıcı;Klasik ve zarif giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
170;Erkek;18-25;Müzik ve Konserler;Mavi;1001-2000 TL;Şehir dışı ve uzun yolculuklar;Sanatsal ve yaratıcı;Klasik ve zarif giyim tarzı;Loş ve romantik mum ışığı
171;Erkek;18-25;Spor ve Aktiviteler;Kırmızı; 2001-5000 TL;Plaj tatilleri;Bohem ve etnik;Klasik ve zarif giyim tarzı;Aydınlatılmış şehir manzarası
172;Erkek;46-55; Teknoloji ve Cihazlar; Siyah;5001 TL;Plaj tatilleri;Modern ve minimalist;Klasik ve zarif giyim tarzı;Aydınlatılmış şehir manzarası
173;Kadın;18-25;Seyahat ve Macera;Mavi; 2001-5000 TL;Şehir dışı ve uzun yolculuklar;Sanatsal ve yaratıcı;Rahat ve spor giyim tarzı;Doğal güneş ışığı
174;Kadın;18-25;Seyehat ve Macera;Mavi;1001-2000 TL;Plaj tatilleri;Sanatsal ve yaratıcı;Rahat ve spor giyim tarzı;Loş ve romantik mum ışığı
175;Erkek;26-35;Spor ve Aktiviteler;Mavi;2001-5000 TL;Aktif ve macera dolu tatiller (rafting, sörf, dağ tırmanışı);Modern ve minimalist;Rahat ve spor giyim tarzı;Doğal güneş ışığı
176;Kadın;36-45;Kitaplar ve Edebiyat;Yeşil;1001-2000 TL;Doğa tatilleri (dağ evi, kamp, doğa yürüyüşleri);Doğal ve rustik;Rahat ve spor giyim tarzı;Yumuşak ve rahatlatıcı LED ışık
